stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,radius_ft,lat,lon
5162,07:48,06:58,581,56,22,360,43.130277,-89.363664
5164,07:34,06:58,581,56,21,1320,43.129128,-89.358711
5173,07:39,06:58,581,56,21,1320,43.143723,-89.382732
5178,07:37,06:58,581,56,22,1320,43.133855,-89.377734
5193,07:32,06:58,581,56,22,1320,43.118762,-89.3636
5197,07:40,06:58,581,56,22,1320,43.134773,-89.396996
5203,07:41,06:58,581,56,22,1320,43.137513,-89.397687
5228,07:49,06:58,581,56,21,180,43.123674,-89.355343
5260,07:37,06:58,581,56,22,1320,43.133856,-89.380576
5287,07:42,06:58,581,56,21,1320,43.142462,-89.363406
5306,07:47,06:58,581,56,21,540,43.129943,-89.358327
5320,07:49,06:58,581,56,21,180,43.125832,-89.355489
5335,07:43,06:58,581,56,21,1260,43.134771,-89.363178
5342,07:38,06:58,581,56,22,1320,43.133875,-89.386296
5346,07:35,06:58,581,56,22,1320,43.132561,-89.367294
5356,07:46,06:58,581,56,21,720,43.130228,-89.355707
5358,07:50,06:58,581,56,22,0,43.12289,-89.363794
5366,07:34,06:58,581,56,22,1320,43.131002,-89.363774
5382,07:49,06:58,581,56,22,180,43.126256,-89.363729
5397,07:43,06:58,581,56,22,1260,43.141738,-89.392569
5407,07:33,06:58,581,56,22,1320,43.123436,-89.363497
5411,07:41,06:58,581,56,21,1320,43.143306,-89.368114
5414,07:36,06:58,581,56,21,1320,43.13421,-89.371185
5421,07:45,06:58,581,56,22,900,43.137948,-89.383316
5427,07:45,06:58,581,56,21,900,43.134579,-89.35558
5432,07:43,06:58,581,56,21,1260,43.137341,-89.363411
5433,07:33,06:58,581,56,21,1320,43.123888,-89.354861
5482,07:38,06:58,581,56,21,1320,43.137392,-89.380388
5520,07:37,06:58,581,56,21,1320,43.136128,-89.376583
5536,07:39,06:58,581,56,22,1320,43.133885,-89.389299
5549,07:45,06:58,581,56,21,900,43.132986,-89.355507
5607,07:40,06:58,581,56,21,1320,43.145315,-89.375255
5625,07:40,06:58,581,56,21,1320,43.145953,-89.382644
5657,07:42,06:58,581,56,22,1320,43.138946,-89.396673
5663,07:45,06:58,581,56,22,900,43.137124,-89.380833
5683,07:33,06:58,581,56,22,1320,43.126059,-89.363445
5705,07:44,06:58,581,56,22,1080,43.139275,-89.387121
5733,07:32,06:58,581,56,20,1320,43.118633,-89.354829
5765,07:39,06:58,581,56,21,1320,43.138423,-89.382921
5777,07:33,06:58,581,56,21,1320,43.125634,-89.354921
5796,07:38,06:58,581,56,22,1320,43.133866,-89.38359
5797,07:40,06:58,581,56,21,1320,43.145594,-89.38047
5815,07:46,06:58,581,56,22,720,43.135743,-89.376621
5823,07:34,06:58,581,56,22,1320,43.129014,-89.363393
5835,07:42,06:58,581,56,22,1320,43.140754,-89.39519
5847,07:41,06:58,581,56,21,1320,43.144561,-89.370288
5856,07:50,06:58,581,56,21,0,43.121292,-89.355271
5865,07:41,06:58,581,56,21,1320,43.144938,-89.373735
5888,07:42,06:58,581,56,21,1320,43.139194,-89.363335
5899,07:48,06:58,581,56,22,360,43.132149,-89.367295
5950,07:39,06:58,581,56,22,1320,43.133895,-89.393067
5993,07:44,06:58,581,56,21,1080,43.134707,-89.360744
6100,07:15,06:55,160,12,38,1320,43.053874,-89.47553
6101,07:11,06:55,160,12,6,1320,43.053874,-89.474974
6106,07:48,06:55,160,12,71,360,43.095966,-89.486157
6109,07:39,06:55,160,12,71,1320,43.087853,-89.504115
6129,07:48,06:57,133,19,6,360,43.060626,-89.491531
6132,07:14,06:55,160,12,71,1320,43.097119,-89.504644
6134,07:13,06:55,160,12,71,1320,43.097219,-89.502113
6138,07:21,06:55,160,12,71,1320,43.093081,-89.529917
6141,07:26,06:55,160,12,71,1320,43.086399,-89.533783
6147,07:11,06:55,160,12,71,1320,43.092418,-89.489611
6149,07:42,07:03,133,3,15,1320,43.079763,-89.524674
6151,07:50,06:57,133,19,6,0,43.060657,-89.481484
6154,07:32,06:56,160,2,73,1320,43.052474,-89.483414
6156,07:14,06:55,160,12,71,1320,43.097027,-89.508682
