stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,initial_walk_time,radius_ft
989,12:17,12:02,809,1,5,2,1320
1100,12:18,12:02,809,1,null,2,1320
1101,12:12,12:02,809,1,null,2,1320
1105,12:36,12:04,809,3,null,2,1320
1107,12:37,12:15,809,10,null,2,1320
1112,12:54,12:27,809,10,null,2,1080
1121,12:24,12:06,581,3,5,6,1320
1123,12:51,12:25,809,2,null,2,1320
1125,12:36,12:15,809,10,null,2,1320
1127,12:30,12:04,809,3,null,2,1320
1131,12:30,12:06,581,3,5,6,1320
1133,12:34,12:06,581,3,5,6,1320
1138,12:59,12:15,809,10,null,2,180
1141,12:38,12:15,809,10,null,2,1320
1143,12:26,12:04,809,3,null,2,1320
1151,12:25,12:06,581,3,5,6,1320
1153,12:35,12:04,809,3,null,2,1320
1160,12:52,12:15,809,10,null,2,1320
1161,12:50,12:25,809,2,null,2,1320
1163,12:18,12:02,809,1,5,2,1320
1167,12:21,12:04,809,3,null,2,1320
1177,12:46,12:25,809,2,null,2,1320
1188,12:35,12:15,809,10,null,2,1320
1199,12:38,12:15,5,80,6,6,1320
1206,12:46,12:06,581,3,34,6,1320
1209,12:27,12:06,581,3,5,6,1320
1211,12:29,12:04,809,3,null,2,1320
1213,12:37,12:09,5,80,4,6,1320
1223,12:35,12:27,809,10,null,2,1320
1225,12:33,12:04,809,3,null,2,1320
1233,12:39,12:15,809,10,null,2,1320
1241,12:41,12:15,5,80,6,6,1320
1250,12:55,12:15,809,10,null,2,900
1260,12:25,12:04,809,3,null,2,1320
1261,12:22,12:06,581,3,5,6,1320
1269,12:45,12:15,5,80,6,6,1320
1270,12:46,12:06,581,3,5,6,1320
1293,12:33,12:06,581,3,5,6,1320
1301,12:40,12:15,809,10,null,2,1320
1305,12:26,12:04,809,3,null,2,1320
1309,12:37,12:06,581,3,5,6,1320
1310,12:40,12:19,133,19,3,6,1320
1311,12:42,12:09,5,80,4,6,1320
1319,12:32,12:06,581,3,5,6,1320
1323,12:34,12:15,5,80,6,6,1320
1324,12:19,12:02,809,1,null,2,1320
1325,12:28,12:06,581,3,5,6,1320
1326,12:45,12:09,5,80,4,6,1320
1333,12:29,12:06,581,3,5,6,1320
1343,12:40,12:09,5,80,4,6,1320
1358,13:00,12:15,809,10,null,2,0
1372,12:58,12:27,809,10,null,2,360
1379,12:47,12:25,809,2,null,2,1320
1380,12:51,12:09,5,80,4,6,1320
1382,12:57,12:27,809,10,null,2,540
1391,12:29,12:04,809,3,null,2,1320
1394,12:47,12:09,5,80,4,6,1320
1397,12:24,12:06,581,3,5,6,1320
1427,12:48,12:09,5,80,4,6,1320
1437,12:36,12:06,581,3,5,6,1320
1453,12:35,12:15,5,80,6,6,1320
1478,12:47,12:06,581,3,5,6,1320
1481,12:46,12:15,5,80,6,6,1320
1488,12:56,12:27,809,10,null,2,720
1495,12:21,12:06,581,3,5,6,1320
1499,12:39,12:09,5,80,4,6,1320
1505,12:23,12:04,809,3,null,2,1320
1509,12:20,12:04,809,3,null,2,1320
1513,12:40,12:15,5,80,6,6,1320
1518,12:33,12:06,581,3,5,6,1320
1555,12:47,12:06,581,3,34,6,1320
1558,12:41,12:19,133,19,3,6,1320
1559,12:23,12:04,809,3,null,2,1320
1565,12:37,12:15,5,80,6,6,1320
1575,12:40,12:09,5,80,4,6,1320
1579,12:35,12:15,5,80,6,6,1320
1595,12:29,12:06,581,3,5,6,1320
1598,12:33,12:06,581,3,5,6,1320
1615,12:21,12:04,809,3,null,2,1320
1636,12:56,12:15,809,10,null,2,720
1643,12:28,12:04,809,3,null,2,1320
1645,12:37,12:09,5,80,4,6,1320
1659,12:41,12:09,5,80,4,6,1320
1663,12:14,12:04,809,3,null,2,1320
1664,12:58,12:15,809,10,null,2,360
1675,12:31,12:06,581,3,5,6,1320
1689,12:24,12:04,809,3,null,2,1320
1695,12:26,12:04,809,3,null,2,1320
1704,12:51,12:15,809,10,null,2,1320
1707,12:45,12:25,809,2,null,2,1320
1712,12:34,12:15,809,10,null,2,1320
1715,12:50,12:25,809,2,null,2,1320
1717,12:48,12:25,809,2,null,2,1320
1737,12:17,12:04,809,3,null,2,1320
1751,12:37,12:06,581,3,5,6,1320
1753,12:57,12:34,809,3,null,2,540
1757,12:46,12:15,5,80,6,6,1320
1777,12:44,12:09,5,80,4,6,1320
1780,12:53,12:15,809,10,null,2,1260
1785,12:33,12:04,809,3,null,2,1320
1786,12:47,12:06,581,3,5,6,1320
1787,12:13,12:02,809,1,null,2,1320
1790,12:37,12:06,581,3,5,6,1320
1798,12:54,12:15,809,10,null,2,1080
1805,12:39,12:15,5,80,6,6,1320
1809,12:34,12:04,809,3,null,2,1320
1812,12:52,12:15,809,10,null,2,1320
1813,12:25,12:04,809,3,null,2,1320
1823,12:17,12:04,809,3,null,2,1320
1830,12:36,12:15,809,10,null,2,1320
1831,12:23,12:06,581,3,5,6,1320
1834,12:57,12:15,809,10,null,2,540
1839,12:19,12:04,809,3,null,2,1320
1843,12:30,12:06,581,3,5,6,1320
1846,12:55,12:27,809,10,null,2,900
1852,12:46,12:09,5,80,4,6,1320
1855,12:36,12:06,581,3,5,6,1320
1872,12:22,12:02,809,1,null,2,1320
1873,12:47,12:06,581,3,34,6,1320
1883,12:39,12:15,5,80,6,6,1320
1886,12:46,12:06,581,3,34,6,1320
1887,12:28,12:04,809,3,null,2,1320
1890,12:48,12:06,581,3,5,6,1320
1892,12:54,12:15,809,10,null,2,1080
1901,12:38,12:09,5,80,4,6,1320
1905,12:31,12:04,809,3,null,2,1320
1913,12:36,12:06,581,3,5,6,1320
1923,12:49,12:25,809,2,null,2,1320
1935,12:38,12:09,5,80,4,6,1320
1944,12:50,12:15,809,10,null,2,1320
1949,12:32,12:06,581,3,5,6,1320
1959,12:22,12:04,809,3,null,2,1320
1961,12:58,12:34,809,3,null,2,360
1973,12:45,12:09,5,80,4,6,1320
1975,12:35,12:06,581,3,5,6,1320
1986,12:50,12:15,809,10,null,2,1320
1995,12:27,12:04,809,3,null,2,1320
1996,12:58,12:15,809,10,null,2,360
2007,12:29,12:17,532,80,null,7,1320
2014,12:29,12:11,532,80,null,7,1320
2018,12:24,12:11,532,80,null,7,1320
2023,12:17,12:11,532,80,null,7,1320
2026,12:24,12:11,532,80,null,7,1320
2027,12:18,12:11,532,80,null,7,1320
2034,12:29,12:11,532,80,null,7,1320
2039,12:27,12:11,532,80,null,7,1320
2041,12:22,12:11,532,80,null,7,1320
2048,12:30,12:11,532,80,null,7,1320
2050,12:32,12:11,532,80,null,7,1320
2053,12:24,12:17,532,80,null,7,1320
2054,12:26,12:11,532,80,null,7,1320
2061,12:27,12:11,532,80,null,7,1320
2071,12:28,12:11,532,80,null,7,1320
2076,12:27,12:17,532,80,null,7,1320
2082,12:25,12:11,532,80,null,7,1320
2088,12:15,12:11,532,80,null,7,1320
2091,12:28,12:17,532,80,null,7,1320
2100,12:22,12:12,178,15,null,4,1320
2101,12:28,12:08,178,10,null,4,1320
2105,12:54,12:19,542,3,null,7,1080
2112,12:27,12:19,542,3,null,7,1320
2114,12:29,12:19,542,3,null,7,1320
2119,12:52,12:19,542,3,null,7,1320
2125,12:16,12:11,532,80,null,7,1320
2131,12:35,12:08,178,10,null,4,1320
2132,12:25,12:19,542,3,null,7,1320
2134,12:45,12:15,5,80,6,6,1320
2138,12:49,12:30,692,2,null,7,1320
2139,12:58,12:19,542,3,null,7,360
2145,12:32,12:17,532,80,null,7,1320
2146,12:23,12:21,692,10,null,7,1320
2164,12:40,12:15,5,80,6,6,1320
